station_abbr;reference_timestamp;Air temperature 2 m above ground hourly mean;Relative air humidity 2 m above ground hourly mean;Atmospheric pressure at barometric altitude (QFE) hourly mean;Wind direction hourly mean;Wind speed scalar hourly mean in m/s;Wind speed scalar hourly mean in km/h;Precipitation hourly total;Global radiation hourly mean
BAS;01.01.2020 00:00;-0.8;93.9;995.2;108.0;1.7;6.1;0.0;0
BAS;01.01.2020 01:00;-1.4;92.9;994.5;79.0;1.6;5.8;0.0;0
BAS;01.01.2020 02:00;-1.6;91.8;994.4;180.0;0.5;1.8;0.0;0
BAS;01.01.2020 03:00;-1.5;91.8;994.2;117.0;1.4;5.0;0.0;0
BAS;01.01.2020 04:00;-1.7;92.5;994.1;113.0;1.6;5.8;0.0;0
BAS;01.01.2020 05:00;-1.8;91.4;993.8;100.0;1.8;6.5;0.0;0
BAS;01.01.2020 06:00;-1.9;90.3;993.8;98.0;0.7;2.5;0.0;0
BAS;01.01.2020 07:00;-2.4;92.5;994.1;81.0;0.7;2.5;0.0;0
BAS;01.01.2020 08:00;-2.0;91.9;994.1;86.0;1.5;5.4;0.0;12
BAS;01.01.2020 09:00;-1.2;89.3;994.5;84.0;0.9;3.2;0.0;102
BAS;01.01.2020 10:00;-0.6;88.2;994.8;270.0;0.8;2.9;0.0;216
BAS;01.01.2020 11:00;0.8;83.9;994.6;243.0;0.4;1.4;0.0;288
BAS;01.01.2020 12:00;2.3;77.6;994.1;103.0;1.7;6.1;0.0;322
BAS;01.01.2020 13:00;3.0;75.2;993.5;108.0;2.3;8.3;0.0;296
BAS;01.01.2020 14:00;2.5;77.6;993.2;104.0;2.9;10.4;0.0;211
BAS;01.01.2020 15:00;1.9;79.3;993.3;98.0;2.8;10.1;0.0;80
BAS;01.01.2020 16:00;1.1;81.9;993.4;97.0;2.4;8.6;0.0;19
BAS;01.01.2020 17:00;0.1;86.7;993.6;101.0;2.2;7.9;0.0;0
BAS;01.01.2020 18:00;-0.3;88.4;993.8;95.0;3.4;12.2;0.0;0
BAS;01.01.2020 19:00;-0.4;89.1;993.9;93.0;3.4;12.2;0.0;0
BAS;01.01.2020 20:00;-0.6;88.9;993.7;97.0;3.4;12.2;0.0;0
BAS;01.01.2020 21:00;-0.6;87.2;993.6;99.0;3.1;11.2;0.0;0
BAS;01.01.2020 22:00;-1.0;88.9;993.4;95.0;2.3;8.3;0.0;0
BAS;01.01.2020 23:00;-1.3;89.8;993.4;120.0;1.7;6.1;0.0;0
BAS;02.01.2020 00:00;-1.4;89.2;993.0;101.0;2.2;7.9;0.0;0
BAS;02.01.2020 01:00;-1.5;89.6;992.9;100.0;2.3;8.3;0.0;0
BAS;02.01.2020 02:00;-1.6;89.4;992.8;106.0;2.6;9.4;0.0;0
BAS;02.01.2020 03:00;-1.6;90.3;992.8;100.0;2.9;10.4;0.0;0
BAS;02.01.2020 04:00;-1.7;90.2;992.6;100.0;3.1;11.2;0.0;0
BAS;02.01.2020 05:00;-1.5;89.4;992.3;93.0;3.5;12.6;0.0;0
BAS;02.01.2020 06:00;-1.5;89.7;992.2;88.0;3.7;13.3;0.0;0
BAS;02.01.2020 07:00;-1.7;89.9;992.5;99.0;2.7;9.7;0.0;0
BAS;02.01.2020 08:00;-1.8;90.4;992.5;102.0;2.5;9.0;0.0;12
BAS;02.01.2020 09:00;-1.1;89.2;992.7;102.0;2.6;9.4;0.0;102
BAS;02.01.2020 10:00;0.0;86.1;992.9;102.0;3.1;11.2;0.0;219
BAS;02.01.2020 11:00;1.2;82.5;992.7;106.0;2.6;9.4;0.0;292
BAS;02.01.2020 12:00;2.1;80.3;991.9;100.0;3.0;10.8;0.0;320
BAS;02.01.2020 13:00;2.7;77.6;991.0;95.0;3.9;14.0;0.0;295
BAS;02.01.2020 14:00;2.8;78.0;990.7;104.0;3.1;11.2;0.0;212
BAS;02.01.2020 15:00;2.3;80.4;990.5;110.0;3.1;11.2;0.0;80
BAS;02.01.2020 16:00;1.2;85.6;990.5;108.0;3.3;11.9;0.0;21
BAS;02.01.2020 17:00;0.5;88.5;990.6;105.0;3.0;10.8;0.0;0
BAS;02.01.2020 18:00;0.2;89.6;991.0;105.0;2.7;9.7;0.0;0
BAS;02.01.2020 19:00;0.1;90.0;991.4;102.0;2.9;10.4;0.0;0
BAS;02.01.2020 20:00;0.2;90.3;991.2;100.0;3.5;12.6;0.0;0
BAS;02.01.2020 21:00;0.4;89.4;990.9;94.0;4.1;14.8;0.0;0
BAS;02.01.2020 22:00;0.5;89.0;990.8;95.0;3.8;13.7;0.0;0
BAS;02.01.2020 23:00;0.7;88.9;990.6;95.0;3.8;13.7;0.0;0
BAS;03.01.2020 00:00;0.9;89.0;990.3;92.0;3.5;12.6;0.0;0
BAS;03.01.2020 01:00;0.9;89.2;990.0;98.0;2.8;10.1;0.0;0
BAS;03.01.2020 02:00;1.0;89.2;989.6;101.0;2.7;9.7;0.0;0
BAS;03.01.2020 03:00;1.0;89.6;989.0;102.0;3.0;10.8;0.0;0
BAS;03.01.2020 04:00;1.3;89.6;988.9;105.0;3.1;11.2;0.0;0
BAS;03.01.2020 05:00;1.5;89.2;988.7;105.0;2.8;10.1;0.0;0
BAS;03.01.2020 06:00;1.4;89.8;988.6;106.0;2.5;9.0;0.0;0
BAS;03.01.2020 07:00;1.3;90.7;988.6;100.0;2.8;10.1;0.0;0
BAS;03.01.2020 08:00;1.3;91.3;988.9;108.0;2.4;8.6;0.0;13
BAS;03.01.2020 09:00;1.6;89.6;989.3;106.0;1.8;6.5;0.0;96
BAS;03.01.2020 10:00;2.5;84.8;989.8;108.0;1.4;5.0;0.0;186
BAS;03.01.2020 11:00;5.1;75.7;989.6;180.0;2.1;7.6;0.0;288
BAS;03.01.2020 12:00;9.2;60.4;989.0;252.0;3.4;12.2;0.0;152
BAS;03.01.2020 13:00;9.3;60.2;988.3;268.0;3.2;11.5;0.0;139
BAS;03.01.2020 14:00;9.2;63.3;988.2;351.0;0.7;2.5;0.0;79
BAS;03.01.2020 15:00;9.0;66.6;988.7;45.0;0.7;2.5;0.0;30
BAS;03.01.2020 16:00;8.5;71.8;989.4;333.0;1.1;4.0;0.0;4
BAS;03.01.2020 17:00;7.6;87.2;990.2;281.0;1.7;6.1;0.1;0
BAS;03.01.2020 18:00;8.1;83.9;990.4;253.0;2.9;10.4;0.0;0
BAS;03.01.2020 19:00;7.9;82.2;990.9;214.0;0.6;2.2;0.0;0
BAS;03.01.2020 20:00;7.4;84.0;990.8;166.0;1.7;6.1;0.0;0
BAS;03.01.2020 21:00;7.5;79.7;991.1;225.0;1.8;6.5;0.0;0
BAS;03.01.2020 22:00;8.3;74.7;991.3;243.0;1.7;6.1;0.0;0
BAS;03.01.2020 23:00;8.3;75.5;991.5;227.0;2.6;9.4;0.0;0
BAS;04.01.2020 00:00;8.0;77.3;991.5;216.0;1.5;5.4;0.0;0
BAS;04.01.2020 01:00;8.5;76.7;991.4;232.0;2.3;8.3;0.0;0
BAS;04.01.2020 02:00;8.5;78.2;991.7;235.0;3.0;10.8;0.0;0
BAS;04.01.2020 03:00;8.6;78.5;991.8;234.0;3.1;11.2;0.0;0
BAS;04.01.2020 04:00;8.5;79.4;991.8;239.0;2.2;7.9;0.0;0
BAS;04.01.2020 05:00;8.4;81.3;991.8;246.0;2.5;9.0;0.0;0
BAS;04.01.2020 06:00;8.2;83.9;992.2;252.0;2.7;9.7;0.0;0
BAS;04.01.2020 07:00;8.0;86.6;992.6;257.0;2.7;9.7;0.0;0
BAS;04.01.2020 08:00;7.4;88.6;993.5;302.0;2.3;8.3;0.5;0
BAS;04.01.2020 09:00;6.2;91.0;994.3;310.0;2.4;8.6;0.8;26
BAS;04.01.2020 10:00;5.6;89.2;995.1;283.0;2.0;7.2;0.1;37
BAS;04.01.2020 11:00;5.4;84.4;995.8;295.0;2.4;8.6;0.0;27
BAS;04.01.2020 12:00;6.1;79.0;995.3;275.0;2.3;8.3;0.0;162
BAS;04.01.2020 13:00;6.4;70.2;995.3;266.0;3.4;12.2;0.0;188
BAS;04.01.2020 14:00;6.5;66.1;995.3;268.0;2.8;10.1;0.0;133
BAS;04.01.2020 15:00;6.4;65.3;995.4;252.0;3.1;11.2;0.0;95
BAS;04.01.2020 16:00;5.7;68.8;995.6;262.0;1.5;5.4;0.0;21
BAS;04.01.2020 17:00;4.0;74.3;996.2;246.0;1.2;4.3;0.0;0
BAS;04.01.2020 18:00;3.9;74.4;996.9;267.0;1.7;6.1;0.0;0
BAS;04.01.2020 19:00;3.6;77.5;997.2;240.0;2.5;9.0;0.0;0
BAS;04.01.2020 20:00;3.5;78.0;997.2;240.0;2.2;7.9;0.0;0
BAS;04.01.2020 21:00;3.5;78.4;997.6;231.0;1.9;6.8;0.0;0
BAS;04.01.2020 22:00;3.8;77.6;997.8;236.0;2.6;9.4;0.0;0
BAS;04.01.2020 23:00;3.7;77.4;998.1;211.0;0.8;2.9;0.0;0
BAS;05.01.2020 00:00;3.1;80.0;997.9;202.0;1.3;4.7;0.0;0
BAS;05.01.2020 01:00;1.8;84.9;997.7;117.0;0.5;1.8;0.0;0
BAS;05.01.2020 02:00;1.8;86.2;997.5;114.0;1.2;4.3;0.0;0
BAS;05.01.2020 03:00;1.9;87.8;997.7;103.0;1.0;3.6;0.0;0
BAS;05.01.2020 04:00;1.1;89.9;997.5;130.0;1.0;3.6;0.0;0
BAS;05.01.2020 05:00;-0.3;92.3;997.5;172.0;0.7;2.5;0.0;0
BAS;05.01.2020 06:00;-0.6;92.6;997.7;104.0;0.5;1.8;0.0;0
BAS;05.01.2020 07:00;-1.0;91.9;997.8;157.0;0.8;2.9;0.0;0
BAS;05.01.2020 08:00;-0.8;92.3;998.0;106.0;0.7;2.5;0.0;12
BAS;05.01.2020 09:00;0.1;91.0;998.0;112.0;1.1;4.0;0.0;105
BAS;05.01.2020 10:00;1.4;86.2;997.9;98.0;0.7;2.5;0.0;227
BAS;05.01.2020 11:00;3.0;80.4;997.6;76.0;0.9;3.2;0.0;301
BAS;05.01.2020 12:00;4.7;73.2;997.3;7.0;1.0;3.6;0.0;330
BAS;05.01.2020 13:00;5.8;67.3;996.8;18.0;1.1;4.0;0.0;305
BAS;05.01.2020 14:00;5.8;67.9;996.6;350.0;1.3;4.7;0.0;223
BAS;05.01.2020 15:00;5.9;67.5;996.5;336.0;1.3;4.7;0.0;80
BAS;05.01.2020 16:00;5.0;73.1;996.6;309.0;1.4;5.0;0.0;25
BAS;05.01.2020 17:00;2.8;81.7;996.7;232.0;1.4;5.0;0.0;0
BAS;05.01.2020 18:00;1.6;86.3;996.3;211.0;1.8;6.5;0.0;0
BAS;05.01.2020 19:00;1.0;88.6;996.1;180.0;0.7;2.5;0.0;0
BAS;05.01.2020 20:00;0.1;91.6;995.8;135.0;0.5;1.8;0.0;0
BAS;05.01.2020 21:00;0.1;92.3;995.5;104.0;0.5;1.8;0.0;0
BAS;05.01.2020 22:00;0.1;91.5;995.0;90.0;1.0;3.6;0.0;0
BAS;05.01.2020 23:00;0.1;90.9;994.7;80.0;1.2;4.3;0.0;0
BAS;06.01.2020 00:00;-0.4;92.9;994.3;90.0;0.7;2.5;0.0;0
BAS;06.01.2020 01:00;-1.0;94.3;993.8;97.0;1.0;3.6;0.0;0
BAS;06.01.2020 02:00;-1.9;94.0;993.3;135.0;0.6;2.2;0.0;0
BAS;06.01.2020 03:00;-1.2;93.9;992.9;104.0;0.8;2.9;0.0;0
BAS;06.01.2020 04:00;-1.1;92.7;992.5;117.0;0.9;3.2;0.0;0
BAS;06.01.2020 05:00;-1.4;92.5;992.6;156.0;1.4;5.0;0.0;0
BAS;06.01.2020 06:00;-1.5;92.5;992.5;119.0;1.3;4.7;0.0;0
BAS;06.01.2020 07:00;-0.5;91.2;992.3;118.0;1.9;6.8;0.0;0
BAS;06.01.2020 08:00;-1.3;92.2;992.2;146.0;1.4;5.0;0.0;12
BAS;06.01.2020 09:00;-0.1;88.5;992.2;135.0;1.2;4.3;0.0;111
BAS;06.01.2020 10:00;1.3;85.8;992.0;105.0;2.5;9.0;0.0;231
BAS;06.01.2020 11:00;2.9;80.9;991.4;105.0;2.7;9.7;0.0;304
BAS;06.01.2020 12:00;3.9;76.8;990.5;105.0;3.1;11.2;0.0;334
BAS;06.01.2020 13:00;4.3;74.6;989.5;103.0;3.3;11.9;0.0;313
BAS;06.01.2020 14:00;4.6;73.4;989.1;107.0;3.2;11.5;0.0;230
BAS;06.01.2020 15:00;4.2;75.6;989.1;108.0;3.0;10.8;0.0;89
BAS;06.01.2020 16:00;3.3;79.8;989.0;111.0;2.6;9.4;0.0;27
BAS;06.01.2020 17:00;2.2;84.3;989.0;107.0;2.7;9.7;0.0;0
BAS;06.01.2020 18:00;1.5;86.9;989.2;110.0;2.4;8.6;0.0;0
BAS;06.01.2020 19:00;1.0;88.7;989.4;105.0;2.3;8.3;0.0;0
BAS;06.01.2020 20:00;0.7;90.0;990.0;103.0;2.3;8.3;0.0;0
BAS;06.01.2020 21:00;0.4;90.5;990.2;106.0;2.6;9.4;0.0;0
BAS;06.01.2020 22:00;-0.1;92.1;990.1;105.0;2.9;10.4;0.0;0
BAS;06.01.2020 23:00;-0.6;93.4;989.5;101.0;3.3;11.9;0.0;0
BAS;07.01.2020 00:00;-0.8;95.6;989.4;99.0;3.1;11.2;0.0;0
BAS;07.01.2020 01:00;-1.0;95.6;989.7;98.0;2.2;7.9;0.0;0
BAS;07.01.2020 02:00;-1.3;95.3;990.3;105.0;1.3;4.7;0.0;0
BAS;07.01.2020 03:00;-1.0;93.5;990.9;108.0;1.2;4.3;0.0;0
BAS;07.01.2020 04:00;-0.9;94.9;991.0;97.0;1.6;5.8;0.0;0
BAS;07.01.2020 05:00;-0.3;93.3;991.0;174.0;1.7;6.1;0.0;0
BAS;07.01.2020 06:00;0.3;92.6;991.3;146.0;0.8;2.9;0.0;0
BAS;07.01.2020 07:00;0.8;90.9;991.8;117.0;1.0;3.6;0.0;0
BAS;07.01.2020 08:00;1.4;89.7;992.6;96.0;1.0;3.6;0.0;3
BAS;07.01.2020 09:00;1.8;90.0;993.5;180.0;0.6;2.2;0.0;14
BAS;07.01.2020 10:00;2.4;91.9;994.2;146.0;0.7;2.5;0.0;24
BAS;07.01.2020 11:00;3.5;94.5;994.0;239.0;2.4;8.6;0.0;121
BAS;07.01.2020 12:00;5.4;89.0;993.2;245.0;1.6;5.8;0.0;111
BAS;07.01.2020 13:00;5.7;87.9;992.9;225.0;1.1;4.0;0.0;74
BAS;07.01.2020 14:00;5.5;89.8;992.6;209.0;1.1;4.0;0.0;55
BAS;07.01.2020 15:00;5.6;89.6;992.7;197.0;1.0;3.6;0.0;27
BAS;07.01.2020 16:00;5.3;90.6;992.8;214.0;0.8;2.9;0.0;7
BAS;07.01.2020 17:00;4.6;91.8;993.3;207.0;1.0;3.6;0.0;0
BAS;07.01.2020 18:00;4.0;91.7;993.5;188.0;0.7;2.5;0.0;0
BAS;07.01.2020 19:00;4.8;89.2;993.6;135.0;0.9;3.2;0.0;0
BAS;07.01.2020 20:00;3.6;91.9;993.1;104.0;0.8;2.9;0.0;0
BAS;07.01.2020 21:00;3.3;92.4;992.7;101.0;1.5;5.4;0.0;0
BAS;07.01.2020 22:00;3.0;91.7;992.5;99.0;2.0;7.2;0.0;0
BAS;07.01.2020 23:00;0.4;94.9;992.0;157.0;1.0;3.6;0.0;0
BAS;08.01.2020 00:00;-0.3;95.4;991.8;167.0;1.5;5.4;0.0;0
BAS;08.01.2020 01:00;-0.5;94.9;992.1;204.0;2.1;7.6;0.0;0
BAS;08.01.2020 02:00;-0.5;95.1;992.4;207.0;2.3;8.3;0.0;0
BAS;08.01.2020 03:00;-1.5;96.4;992.2;198.0;1.3;4.7;0.0;0
BAS;08.01.2020 04:00;-1.0;94.5;992.4;187.0;1.8;6.5;0.0;0
BAS;08.01.2020 05:00;0.1;93.2;992.2;139.0;2.1;7.6;0.0;0
BAS;08.01.2020 06:00;-0.6;96.0;992.3;99.0;1.8;6.5;0.0;0
BAS;08.01.2020 07:00;-0.6;96.8;992.7;107.0;1.7;6.1;0.0;0
BAS;08.01.2020 08:00;-0.4;96.9;993.0;99.0;2.5;9.0;0.0;18
BAS;08.01.2020 09:00;0.3;94.7;993.4;105.0;2.1;7.6;0.0;97
BAS;08.01.2020 10:00;1.3;94.1;993.8;104.0;2.5;9.0;0.0;128
BAS;08.01.2020 11:00;3.3;87.0;993.1;93.0;2.3;8.3;0.0;331
BAS;08.01.2020 12:00;4.9;80.5;992.3;104.0;2.1;7.6;0.0;227
BAS;08.01.2020 13:00;5.9;77.7;991.9;108.0;1.5;5.4;0.0;209
BAS;08.01.2020 14:00;6.8;75.0;991.5;146.0;0.8;2.9;0.0;127
BAS;08.01.2020 15:00;7.2;71.7;991.5;114.0;1.1;4.0;0.0;98
BAS;08.01.2020 16:00;6.6;74.7;991.5;110.0;1.2;4.3;0.0;31
BAS;08.01.2020 17:00;5.5;79.6;991.5;104.0;2.1;7.6;0.0;0
BAS;08.01.2020 18:00;5.3;80.4;991.5;102.0;2.5;9.0;0.0;0
BAS;08.01.2020 19:00;5.4;79.6;991.4;103.0;2.0;7.2;0.0;0
BAS;08.01.2020 20:00;5.5;79.5;991.2;114.0;1.3;4.7;0.0;0
BAS;08.01.2020 21:00;5.6;78.9;991.0;107.0;1.7;6.1;0.0;0
BAS;08.01.2020 22:00;5.7;78.3;991.1;126.0;1.0;3.6;0.0;0
BAS;08.01.2020 23:00;5.7;78.8;990.7;105.0;1.5;5.4;0.0;0
BAS;09.01.2020 00:00;5.5;78.9;989.8;98.0;2.9;10.4;0.0;0
BAS;09.01.2020 01:00;5.8;76.9;989.3;104.0;3.1;11.2;0.0;0
BAS;09.01.2020 02:00;5.8;76.9;989.3;113.0;2.6;9.4;0.0;0
BAS;09.01.2020 03:00;5.7;78.1;989.0;132.0;1.3;4.7;0.0;0
BAS;09.01.2020 04:00;5.7;78.2;988.4;114.0;1.3;4.7;0.0;0
BAS;09.01.2020 05:00;5.3;80.0;987.9;103.0;2.3;8.3;0.0;0
BAS;09.01.2020 06:00;4.8;83.1;987.3;108.0;2.9;10.4;0.0;0
BAS;09.01.2020 07:00;4.5;83.8;986.8;113.0;2.5;9.0;0.0;0
BAS;09.01.2020 08:00;4.4;83.4;986.4;104.0;2.9;10.4;0.0;18
BAS;09.01.2020 09:00;5.0;80.2;985.8;103.0;3.3;11.9;0.0;94
BAS;09.01.2020 10:00;6.3;74.5;985.3;99.0;3.2;11.5;0.0;212
BAS;09.01.2020 11:00;8.0;67.4;984.7;103.0;2.7;9.7;0.0;311
BAS;09.01.2020 12:00;9.7;59.4;983.9;105.0;2.1;7.6;0.0;344
BAS;09.01.2020 13:00;10.7;56.3;982.9;102.0;1.5;5.4;0.0;312
BAS;09.01.2020 14:00;11.2;52.6;982.1;103.0;1.8;6.5;0.0;225
BAS;09.01.2020 15:00;11.1;51.5;981.6;105.0;2.0;7.2;0.0;96
BAS;09.01.2020 16:00;10.0;53.6;981.0;110.0;2.1;7.6;0.0;30
BAS;09.01.2020 17:00;8.8;56.4;980.7;109.0;1.9;6.8;0.0;0
BAS;09.01.2020 18:00;8.1;57.5;980.5;111.0;2.5;9.0;0.0;0
BAS;09.01.2020 19:00;7.8;56.9;980.0;108.0;3.2;11.5;0.0;0
BAS;09.01.2020 20:00;8.0;55.2;980.0;99.0;2.5;9.0;0.0;0
BAS;09.01.2020 21:00;7.6;57.9;979.7;90.0;2.1;7.6;0.0;0
BAS;09.01.2020 22:00;7.6;58.2;979.6;105.0;1.7;6.1;0.0;0
BAS;09.01.2020 23:00;7.1;65.4;980.2;135.0;1.3;4.7;0.0;0
BAS;10.01.2020 00:00;6.1;79.9;981.1;69.0;1.1;4.0;0.7;0
BAS;10.01.2020 01:00;5.8;86.7;981.6;110.0;1.3;4.7;0.3;0
BAS;10.01.2020 02:00;6.1;84.7;982.0;105.0;1.2;4.3;0.1;0
BAS;10.01.2020 03:00;6.9;81.7;982.1;360.0;0.5;1.8;0.3;0
BAS;10.01.2020 04:00;6.9;87.5;982.1;101.0;1.0;3.6;0.3;0
BAS;10.01.2020 05:00;6.5;88.8;981.9;108.0;1.6;5.8;0.0;0
BAS;10.01.2020 06:00;6.5;88.7;982.0;102.0;1.5;5.4;0.0;0
BAS;10.01.2020 07:00;6.5;87.0;982.3;113.0;1.4;5.0;0.0;0
BAS;10.01.2020 08:00;7.8;71.6;982.6;156.0;2.5;9.0;0.0;12
BAS;10.01.2020 09:00;8.8;67.6;983.3;151.0;1.3;4.7;0.0;108
BAS;10.01.2020 10:00;10.0;62.7;984.1;229.0;2.2;7.9;0.0;150
BAS;10.01.2020 11:00;10.7;60.2;984.6;268.0;3.5;12.6;0.0;136
BAS;10.01.2020 12:00;11.5;57.9;984.8;264.0;4.3;15.5;0.0;316
BAS;10.01.2020 13:00;11.6;57.2;985.0;258.0;4.1;14.8;0.0;342
BAS;10.01.2020 14:00;10.9;59.1;985.8;262.0;4.7;16.9;0.0;137
BAS;10.01.2020 15:00;9.7;68.9;986.9;256.0;3.4;12.2;0.1;59
BAS;10.01.2020 16:00;9.3;71.0;987.8;242.0;4.1;14.8;0.0;12
BAS;10.01.2020 17:00;8.7;75.2;988.6;254.0;3.6;13.0;0.0;0
BAS;10.01.2020 18:00;8.2;78.6;989.4;240.0;4.0;14.4;0.0;0
BAS;10.01.2020 19:00;8.0;80.7;990.3;244.0;3.3;11.9;0.0;0
BAS;10.01.2020 20:00;7.8;79.7;991.3;253.0;2.5;9.0;0.0;0
BAS;10.01.2020 21:00;7.6;80.3;992.1;292.0;1.3;4.7;0.0;0
BAS;10.01.2020 22:00;7.2;83.8;992.8;288.0;1.6;5.8;0.0;0
BAS;10.01.2020 23:00;6.8;87.0;993.3;270.0;1.2;4.3;0.0;0
BAS;11.01.2020 00:00;6.6;85.9;993.6;278.0;0.7;2.5;0.0;0
BAS;11.01.2020 01:00;5.2;88.1;993.7;222.0;1.4;5.0;0.0;0
BAS;11.01.2020 02:00;4.2;92.1;994.2;225.0;0.9;3.2;0.0;0
BAS;11.01.2020 03:00;4.5;92.4;994.7;198.0;0.7;2.5;0.0;0
BAS;11.01.2020 04:00;4.4;90.4;994.5;201.0;1.4;5.0;0.0;0
BAS;11.01.2020 05:00;4.0;90.8;994.9;243.0;1.2;4.3;0.0;0
BAS;11.01.2020 06:00;2.9;92.0;995.2;207.0;1.8;6.5;0.0;0
BAS;11.01.2020 07:00;2.4;92.7;995.4;215.0;2.0;7.2;0.0;0
BAS;11.01.2020 08:00;2.7;92.2;995.7;210.0;0.8;2.9;0.0;9
BAS;11.01.2020 09:00;4.0;90.4;995.6;180.0;1.2;4.3;0.0;72
BAS;11.01.2020 10:00;5.4;85.2;995.5;270.0;0.5;1.8;0.0;235
BAS;11.01.2020 11:00;6.5;79.4;995.3;344.0;1.0;3.6;0.0;282
BAS;11.01.2020 12:00;6.7;76.8;994.8;338.0;1.3;4.7;0.0;316
BAS;11.01.2020 13:00;7.4;71.4;994.4;333.0;1.3;4.7;0.0;308
BAS;11.01.2020 14:00;7.2;67.5;994.1;331.0;1.2;4.3;0.0;130
BAS;11.01.2020 15:00;6.7;68.9;993.9;306.0;0.9;3.2;0.0;61
BAS;11.01.2020 16:00;6.5;69.4;993.6;278.0;0.8;2.9;0.0;36
BAS;11.01.2020 17:00;5.1;74.5;993.4;284.0;0.9;3.2;0.0;0
BAS;11.01.2020 18:00;4.0;80.5;993.4;236.0;1.2;4.3;0.0;0
BAS;11.01.2020 19:00;2.7;87.1;993.2;221.0;1.9;6.8;0.0;0
BAS;11.01.2020 20:00;2.1;88.4;993.2;228.0;1.2;4.3;0.0;0
BAS;11.01.2020 21:00;1.4;90.1;992.9;212.0;1.6;5.8;0.0;0
BAS;11.01.2020 22:00;1.6;90.7;992.7;158.0;0.7;2.5;0.0;0
BAS;11.01.2020 23:00;0.9;91.2;992.7;165.0;1.2;4.3;0.0;0
BAS;12.01.2020 00:00;0.3;92.8;992.2;174.0;1.0;3.6;0.0;0
BAS;12.01.2020 01:00;0.0;93.5;991.8;180.0;1.3;4.7;0.0;0
BAS;12.01.2020 02:00;0.3;93.9;991.9;156.0;1.3;4.7;0.0;0
BAS;12.01.2020 03:00;-0.5;95.6;991.6;127.0;0.5;1.8;0.0;0
BAS;12.01.2020 04:00;-0.6;93.8;991.3;207.0;0.4;1.4;0.0;0
BAS;12.01.2020 05:00;0.7;92.8;990.8;121.0;0.7;2.5;0.0;0
BAS;12.01.2020 06:00;0.3;92.8;990.8;95.0;1.2;4.3;0.0;0
BAS;12.01.2020 07:00;0.3;93.3;990.8;99.0;1.4;5.0;0.0;0
BAS;12.01.2020 08:00;0.5;92.7;991.0;101.0;0.6;2.2;0.0;7
BAS;12.01.2020 09:00;1.6;86.1;991.5;252.0;1.6;5.8;0.0;38
BAS;12.01.2020 10:00;2.0;81.4;992.2;207.0;3.2;11.5;0.0;110
BAS;12.01.2020 11:00;2.8;77.1;992.3;222.0;1.6;5.8;0.0;156
BAS;12.01.2020 12:00;3.6;74.2;991.7;175.0;1.5;5.4;0.0;297
BAS;12.01.2020 13:00;4.1;71.4;991.1;143.0;1.7;6.1;0.0;334
BAS;12.01.2020 14:00;4.8;68.7;990.5;113.0;0.9;3.2;0.0;268
BAS;12.01.2020 15:00;4.9;67.9;990.3;101.0;1.0;3.6;0.0;130
BAS;12.01.2020 16:00;4.3;70.5;990.7;342.0;0.5;1.8;0.0;27
BAS;12.01.2020 17:00;3.6;77.5;991.1;297.0;1.7;6.1;0.0;0
BAS;12.01.2020 18:00;1.9;85.0;991.3;166.0;0.5;1.8;0.0;0
BAS;12.01.2020 19:00;1.9;85.6;991.3;113.0;0.8;2.9;0.0;0
BAS;12.01.2020 20:00;1.5;86.9;991.1;95.0;1.1;4.0;0.0;0
BAS;12.01.2020 21:00;1.4;87.0;991.0;149.0;1.2;4.3;0.0;0
BAS;12.01.2020 22:00;1.3;88.1;990.8;112.0;0.6;2.2;0.0;0
BAS;12.01.2020 23:00;1.6;87.9;990.5;135.0;0.6;2.2;0.0;0
BAS;13.01.2020 00:00;0.9;89.0;990.0;135.0;0.6;2.2;0.0;0
BAS;13.01.2020 01:00;1.3;86.9;989.4;120.0;0.9;3.2;0.0;0
BAS;13.01.2020 02:00;1.5;85.7;989.0;108.0;1.3;4.7;0.0;0
BAS;13.01.2020 03:00;1.7;85.2;988.6;108.0;1.3;4.7;0.0;0
BAS;13.01.2020 04:00;1.8;84.3;988.1;126.0;0.9;3.2;0.0;0
BAS;13.01.2020 05:00;2.0;85.1;987.5;112.0;1.1;4.0;0.0;0
BAS;13.01.2020 06:00;2.0;83.5;986.9;103.0;1.3;4.7;0.0;0
BAS;13.01.2020 07:00;2.1;84.6;986.6;102.0;1.5;5.4;0.0;0
BAS;13.01.2020 08:00;2.6;81.9;986.6;130.0;1.0;3.6;0.0;9
BAS;13.01.2020 09:00;3.0;81.0;986.4;99.0;2.0;7.2;0.0;58
BAS;13.01.2020 10:00;3.6;80.5;985.7;99.0;3.7;13.3;0.0;146
BAS;13.01.2020 11:00;4.7;76.5;985.1;96.0;4.0;14.4;0.0;194
BAS;13.01.2020 12:00;5.6;71.8;984.0;102.0;3.1;11.2;0.0;224
BAS;13.01.2020 13:00;6.2;68.7;983.7;98.0;0.9;3.2;0.0;201
BAS;13.01.2020 14:00;7.1;66.8;983.2;56.0;0.7;2.5;0.0;176
BAS;13.01.2020 15:00;6.9;68.1;982.5;112.0;1.1;4.0;0.0;75
BAS;13.01.2020 16:00;6.2;70.0;982.0;103.0;1.8;6.5;0.0;39
BAS;13.01.2020 17:00;5.0;72.8;982.0;109.0;2.4;8.6;0.0;0
